,advancements_50,advancements_35,advancements_25
0,0.0054487309493379595,0.0032737083347441224,0.0029943628047246064
1,0.025141374085060293,0.023175177030000996,0.022549594379770117
2,0.03955692013867847,0.04402119672706105,0.03788650075455457
3,0.06255923007292769,0.060014703209127274,0.06436147437177837
4,0.07957204580071722,0.08294155591842098,0.07867294533891173
5,0.10168421738665086,0.0985378731819532,0.09592275970081028
6,0.09445066185943493,0.12256383005254151,0.12277716911305848
7,0.1374837456621509,0.14060009433244738,0.13639422888980765
8,0.1419067189299744,0.16111384318187846,0.161586270426124
9,0.17619662176327314,0.18238093882056503,0.1808977294796287
10,0.19010285688601766,0.20037262297143557,0.20109740351241245
11,0.21810044776124787,0.22120691426907935,0.21862928775012927
12,0.23929434200069694,0.24217839975405167,0.23840143150860255
13,0.23811940730236203,0.2607339767099919,0.2617149796971903
14,0.2845342067130195,0.27904024772119224,0.2835659846963651
15,0.00338857785444389,0.0035230251085885483,0.005524632785516773
16,0.0060598565710086386,0.02298925162526864,0.023327087181893216
17,0.03107718309759497,0.04256265305456215,0.04299156977619046
18,0.06008274019182379,0.06428556471172306,0.06115653022053935
19,0.05135715246478417,0.08078427526397469,0.08184875104523252
20,0.09946345841134978,0.10258306447990591,0.09766851863071915
21,0.11789539568977217,0.12387554996875887,0.11903208698110339
22,0.14033500808291358,0.14367279077171655,0.13804296899470062
23,0.1599171645933277,0.16032622807185187,0.1570118579127667
24,0.1651779196880416,0.1832100038700843,0.18503578426084957
25,0.19967061232749744,0.20428728046382083,0.19788665018386375
26,0.20362015295311853,0.2219730855325386,0.22415154185665656
27,0.2419175673671927,0.24320952099854842,0.24109737750090057
28,0.24794365913571476,0.2618918968939443,0.2636091554589504
29,0.2787261533270324,0.2840324983741638,0.2769067748564312
30,0.005709026537243399,0.004354262540519258,0.004520990860655931
31,0.008666945420186818,0.024865885990174558,0.025181640144746283
32,0.04267826029400415,0.044904427405830574,0.04296722683749001
33,0.04538112323582145,0.06252346569805525,0.06243025424880716
34,0.05742572085672136,0.08374838398823961,0.08454648909226266
35,0.0998247474758288,0.1084664027744736,0.10503862583181908
36,0.12058159810337102,0.12540536575007877,0.11844529793598123
37,0.10820115636139274,0.14232194186252003,0.14114598626080366
38,0.1360388148716406,0.1642963675071527,0.1643341097290822
39,0.17988997981258345,0.1829338110014743,0.17863128949695287
40,0.20543803756005113,0.20826180518318418,0.20490855044040532
41,0.22068015531035923,0.22163972523150124,0.22072429575287156
42,0.2174683771332729,0.2405409141958064,0.24116863216843173
43,0.2592971492243485,0.26432776020207843,0.25752499596454376
44,0.26427202551687856,0.2814651409215105,0.28308957116527067
45,0.06553951811757457,0.06604000733122709,0.0743066292331934
46,0.09199792710178192,0.06445249385986455,0.04555358141096298
47,0.047138984531225156,0.04548966238082177,0.04508172188914032
48,0.06451345390073046,0.06369908045860936,0.060895138615557884
49,0.0850313498804733,0.08155509402339584,0.08382103113445087
50,0.09162027275862601,0.10491087600240412,0.10202803262963243
51,0.11456233756370003,0.13916372293557067,0.1213788998841542
52,0.1459430658028349,0.13676274807019081,0.1428900281335809
53,0.13941137010178184,0.1661922513895382,0.16457744557393694
54,0.1642342150327394,0.18290965900743472,0.18431514358348158
55,0.2032378769240794,0.20509063765287125,0.20546932662933645
56,0.2192611678084485,0.22296658360723068,0.2175482392513666
57,0.24161365805173612,0.2452437981649876,0.24100647932059455
58,0.26173722983566766,0.2641453191663908,0.26122916219282205
59,0.28316704748771965,0.27812518097902966,0.2823401723035663
60,0.06291272438342307,0.030692930122378538,0.04190218933301269
61,0.0566419484711427,0.06394422191434003,0.06414588034307962
62,0.09920402457224883,0.08302276240546289,0.07908177752374995
63,0.07798405784944291,0.0962484331471202,0.109624550466702
64,0.08070004391659699,0.0879742358489894,0.08462846798086066
65,0.11193155824615135,0.09911564285059571,0.10134438463551394
66,0.09469881597262983,0.11912344648739939,0.11936806410118753
67,0.1391786349246564,0.1376920372143507,0.13779740026737886
68,0.1494493369413982,0.1716886253238825,0.1638412506046206
69,0.1779608731036958,0.18626869230752952,0.18462837013867703
70,0.16720663162703636,0.20154296049792755,0.2046329928715503
71,0.22110096759040163,0.2243475303254057,0.21723562189781043
72,0.24462348629374842,0.2370367861116295,0.24663476771624615
