,out_0,out_1,prediction,height,offset
159,0.035299204,0.9647008,1,0.09,17
160,9.247435e-06,0.9999907,1,0.09,16
161,9.4082075e-08,0.9999999,1,0.09,15
162,5.631778e-09,1.0,1,0.09,14
163,3.81741e-09,1.0,1,0.09,13
164,1.13301635e-08,1.0,1,0.09,12
165,1.8589099e-05,0.9999814,1,0.08,26
166,0.0010559396,0.9989441,1,0.08,25
167,0.0081034945,0.99189657,1,0.08,24
168,0.001404582,0.9985954,1,0.08,23
169,0.020864647,0.97913533,1,0.08,22
170,0.13747747,0.86252254,1,0.08,21
171,0.012481868,0.98751813,1,0.08,20
172,0.0019679524,0.99803203,1,0.08,19
173,0.04947728,0.9505227,1,0.08,18
174,0.0022248938,0.99777514,1,0.08,17
175,1.7956193e-06,0.9999982,1,0.08,16
176,7.710942e-08,0.9999999,1,0.08,15
177,6.489943e-09,1.0,1,0.08,14
178,5.5970073e-09,1.0,1,0.08,13
179,8.874129e-07,0.99999917,1,0.08,12
180,3.7839357e-07,0.99999964,1,0.07,26
181,3.4120443e-05,0.9999659,1,0.07,25
182,0.000583276,0.9994167,1,0.07,24
183,7.341737e-05,0.99992657,1,0.07,23
184,0.0015420861,0.9984579,1,0.07,22
185,0.014033629,0.9859664,1,0.07,21
186,0.00069078396,0.9993092,1,0.07,20
187,6.64679e-05,0.9999335,1,0.07,19
188,0.0010692562,0.99893075,1,0.07,18
189,4.027165e-05,0.9999597,1,0.07,17
190,1.2880963e-07,0.9999999,1,0.07,16
191,1.8217494e-07,0.99999976,1,0.07,15
192,4.2379032e-08,1.0,1,0.07,14
193,1.7982019e-07,0.99999976,1,0.07,13
194,1.275088e-05,0.99998724,1,0.07,12
195,1.2048233e-07,0.9999999,1,0.06,26
196,1.0123231e-05,0.99998987,1,0.06,25
197,5.6328685e-05,0.9999436,1,0.06,24
198,3.713984e-06,0.9999963,1,0.06,23
199,0.00014019989,0.9998598,1,0.06,22
200,0.00076660543,0.99923337,1,0.06,21
201,5.3687825e-05,0.99994636,1,0.06,20
202,1.0695302e-06,0.9999989,1,0.06,19
203,8.110945e-06,0.9999919,1,0.06,18
204,1.7023997e-07,0.9999999,1,0.06,17
205,5.050624e-09,1.0,1,0.06,16
206,3.6450572e-07,0.99999964,1,0.06,15
207,8.430703e-07,0.99999917,1,0.06,14
208,4.386204e-06,0.9999956,1,0.06,13
209,0.00010009912,0.99989986,1,0.06,12
210,2.1294366e-07,0.99999976,1,0.05,26
211,3.5252847e-06,0.9999964,1,0.05,25
212,4.395593e-06,0.9999956,1,0.05,24
213,2.3307153e-07,0.99999976,1,0.05,23
214,6.029699e-06,0.9999939,1,0.05,22
215,2.1575783e-05,0.9999784,1,0.05,21
216,1.5586205e-06,0.99999845,1,0.05,20
217,3.768757e-09,1.0,1,0.05,19
218,5.518146e-08,1.0,1,0.05,18
219,1.7030135e-09,1.0,1,0.05,17
220,1.5277526e-07,0.9999999,1,0.05,16
221,3.4971474e-06,0.99999654,1,0.05,15
222,4.650514e-06,0.99999535,1,0.05,14
223,3.1659933e-05,0.9999683,1,0.05,13
224,0.00035288022,0.99964714,1,0.05,12
